Date,AAPL,MSFT,NVDA,META
2024-05-06,180.85601806640625,410.4067077636719,92.10972595214844,463.9873046875
2024-05-07,181.54278564453125,406.2384948730469,90.52424621582031,466.5379943847656
2024-05-08,181.8811798095703,407.4294128417969,90.3823013305664,470.8821716308594
2024-05-09,183.7025909423828,409.1959533691406,88.71784973144531,473.69195556640625
2024-05-10,182.43682861328125,411.59759521484375,89.84847259521484,474.4691162109375
2024-05-13,185.65602111816406,410.5852966308594,90.36930847167969,466.3088684082031
2024-05-14,186.8021697998047,413.40380859375,91.32599639892578,470.1348876953125
2024-05-15,189.08450317382812,420.6317443847656,94.59890747070312,479.7896728515625
2024-05-16,189.2041015625,418.5538330078125,94.3280029296875,471.5098571777344
2024-05-17,189.2340087890625,417.7783203125,92.44861602783203,470.1946716308594
2024-05-20,190.40008544921875,422.878662109375,94.74886322021484,467.1358337402344
2024-05-21,191.70570373535156,426.5572509765625,95.35466766357422,462.9411315917969
2024-05-22,190.26055908203125,428.0286865234375,94.91880798339844,466.07965087890625
2024-05-23,186.25401306152344,424.5290832519531,103.76490783691406,464.08697509765625
2024-05-24,189.3436279296875,427.6707763671875,106.43402862548828,476.48175048828125
2024-05-28,189.35360717773438,427.8298645019531,113.86358642578125,478.17559814453125
2024-05-29,189.652587890625,426.6865234375,114.78727722167969,472.6357421875
2024-05-30,190.6492462158203,412.2704162597656,110.46369934082031,465.3523254394531
2024-05-31,191.6060333251953,412.7277526855469,109.59698486328125,465.13311767578125
2024-06-03,193.3800506591797,411.1270446777344,114.96222686767578,475.75439453125
2024-06-04,193.69898986816406,413.6623229980469,116.39875030517578,475.2561950683594
2024-06-05,195.21389770507812,421.5563659667969,122.39977264404297,493.2605285644531
2024-06-06,193.82855224609375,422.0633850097656,120.958251953125,491.96527099609375
2024-06-07,196.23048400878906,421.3973083496094,120.8482894897461,491.16815185546875
2024-06-10,192.4730987548828,425.39404296875,121.74999237060547,500.77313232421875
2024-06-11,206.45611572265625,430.1761779785156,120.88021087646484,505.62542724609375
2024-06-12,212.35630798339844,438.5076904296875,125.16915130615234,506.9904479980469
2024-06-13,213.52236938476562,439.0246887207031,129.5780792236328,502.2676696777344
2024-06-14,211.77822875976562,440.00897216796875,131.84751892089844,502.8262023925781
2024-06-17,215.94422912597656,445.775390625,130.94773864746094,505.2896423339844
2024-06-18,213.5721893310547,443.75714111328125,135.54660034179688,498.16851806640625
2024-06-20,208.97764587402344,443.1208801269531,130.74778747558594,500.3727111816406
2024-06-21,206.79498291015625,447.17724609375,126.53881072998047,493.47100830078125
2024-06-24,207.4427947998047,445.0794677734375,118.08090209960938,497.590087890625
2024-06-25,208.36968994140625,448.3404541015625,126.05892944335938,509.2491760253906
2024-06-26,212.5356903076172,449.54345703125,126.36885833740234,511.7624816894531
2024-06-27,213.3828582763672,450.2294921875,123.95944213867188,518.1854248046875
2024-06-28,209.9144744873047,444.3636169433594,123.50955963134766,502.8860168457031
2024-07-01,216.02395629882812,454.0870361328125,124.2693862915039,503.34478759765625
2024-07-02,219.53216552734375,456.62225341796875,122.6397705078125,508.1520690917969
2024-07-03,220.80789184570312,458.1036376953125,128.24839782714844,508.6108703613281
2024-07-05,225.5818328857422,464.8543395996094,125.79899597167969,538.4815673828125
2024-07-08,227.056884765625,463.5419921875,128.16839599609375,527.9196166992188
2024-07-09,227.9139862060547,456.8807678222656,131.34764099121094,528.5978393554688
2024-07-10,232.1995849609375,463.55194091796875,134.87677001953125,533.275390625
2024-07-11,226.80772399902344,452.06878662109375,127.36861419677734,511.3436279296875
2024-07-12,229.76776123046875,450.9254150390625,129.2081756591797,497.5502014160156
2024-07-15,233.61483764648438,451.3330383300781,128.40835571289062,494.84735107421875
2024-07-16,234.033447265625,446.9187316894531,126.32887268066406,488.4942321777344
2024-07-17,228.1133270263672,440.9534606933594,117.96092987060547,460.7677307128906
2024-07-18,223.42906188964844,437.82171630859375,121.06016540527344,474.5910949707031
2024-07-19,223.55862426757812,434.5805358886719,117.90093994140625,475.52862548828125
2024-07-22,223.20980834960938,440.3768310546875,123.50955963134766,486.11053466796875
2024-07-23,224.25628662109375,442.2757873535156,122.5597915649414,487.3971252441406
2024-07-24,217.80795288085938,426.4180603027344,114.22184753417969,460.0496520996094
2024-07-25,216.76148986816406,415.97882080078125,112.25232696533203,452.21044921875
2024-07-26,217.2299041748047,422.8090515136719,113.03214263916016,464.46795654296875
2024-07-29,217.50897216796875,424.2606506347656,111.5625,464.4779052734375
2024-07-30,218.0670928955078,420.4726867675781,103.7044448852539,461.9645690917969
2024-07-31,221.3361053466797,415.92913818359375,116.99115753173828,473.57379150390625
2024-08-01,217.62857055664062,414.6962585449219,109.18309783935547,496.4231872558594
2024-08-02,219.12353515625,406.1261901855469,107.24356842041016,486.84857177734375
2024-08-05,208.5690155029297,392.8633728027344,100.42524719238281,474.471435546875
2024-08-06,206.5358428955078,397.29754638671875,104.22431182861328,492.7828369140625
2024-08-07,209.1171875,396.1243591308594,98.88563537597656,487.62652587890625
2024-08-08,212.59547424316406,400.3597106933594,104.94413757324219,508.28173828125
2024-08-09,215.51568603515625,403.67047119140625,104.72418975830078,516.4002075195312
2024-08-12,217.0522918701172,404.4559020996094,108.9931411743164,514.5850219726562
2024-08-13,220.78407287597656,411.6142578125,116.11138153076172,527.1416625976562
2024-08-14,221.23309326171875,414.4477233886719,118.05091094970703,525.3663940429688
2024-08-15,224.22650146484375,419.34808349609375,122.8297348022461,535.908447265625
2024-08-16,225.5535888671875,416.7983093261719,124.54930114746094,526.0245971679688
